instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count
1,01/01/2011,1,0,1,0,6,0,2,14.11,18.18,0.81,0.16,331,654,985
2,02/01/2011,1,0,1,0,0,0,2,14.9,17.69,0.7,0.25,131,670,801
3,03/01/2011,1,0,1,0,1,1,1,8.05,9.47,0.44,0.25,120,1229,1349
4,04/01/2011,1,0,1,0,2,1,1,8.2,10.61,0.59,0.16,108,1454,1562
5,05/01/2011,1,0,1,0,3,1,1,9.31,11.46,0.44,0.19,82,1518,1600
6,06/01/2011,1,0,1,0,4,1,1,8.38,11.66,0.52,0.09,88,1518,1606
7,07/01/2011,1,0,1,0,5,1,2,8.06,10.44,0.5,0.17,148,1362,1510
8,08/01/2011,1,0,1,0,6,0,2,6.76,8.11,0.54,0.27,68,891,959
9,09/01/2011,1,0,1,0,0,0,1,5.67,5.81,0.43,0.36,54,768,822
10,10/01/2011,1,0,1,0,1,1,1,6.18,7.54,0.48,0.22,41,1280,1321
11,11/01/2011,1,0,1,0,2,1,2,6.93,9.57,0.69,0.12,43,1220,1263
12,12/01/2011,1,0,1,0,3,1,1,7.08,8.02,0.6,0.3,25,1137,1162
13,13/01/2011,1,0,1,0,4,1,1,6.76,7.54,0.47,0.3,38,1368,1406
14,14/01/2011,1,0,1,0,5,1,1,6.6,9.42,0.54,0.13,54,1367,1421
15,15/01/2011,1,0,1,0,6,0,2,9.57,12.41,0.5,0.16,222,1026,1248
16,16/01/2011,1,0,1,0,0,0,1,9.5,11.71,0.48,0.19,251,953,1204
17,17/01/2011,1,0,1,1,1,0,2,7.21,8.84,0.54,0.19,117,883,1000
18,18/01/2011,1,0,1,0,2,1,2,8.88,11.62,0.86,0.15,9,674,683
19,19/01/2011,1,0,1,0,3,1,2,11.98,14.92,0.74,0.21,78,1572,1650
20,20/01/2011,1,0,1,0,4,1,2,10.73,12.75,0.54,0.2,83,1844,1927
21,21/01/2011,1,0,1,0,5,1,1,7.28,7.89,0.46,0.35,75,1468,1543
22,22/01/2011,1,0,1,0,6,0,1,2.42,3.95,0.4,0.17,93,888,981
23,23/01/2011,1,0,1,0,0,0,1,3.96,4.94,0.44,0.25,150,836,986
24,24/01/2011,1,0,1,0,1,1,1,3.99,5.9,0.49,0.16,86,1330,1416
25,25/01/2011,1,0,1,0,2,1,2,9.16,11.73,0.62,0.13,186,1799,1985
26,26/01/2011,1,0,1,0,3,1,3,8.92,10.18,0.86,0.29,34,472,506
27,27/01/2011,1,0,1,0,4,1,1,8,10.98,0.69,0.11,15,416,431
28,28/01/2011,1,0,1,0,5,1,2,8.34,11.17,0.79,0.12,38,1129,1167
29,29/01/2011,1,0,1,0,6,0,1,8.06,10.61,0.65,0.15,123,975,1098
30,30/01/2011,1,0,1,0,0,0,1,8.88,12.52,0.72,0.07,140,956,1096
31,31/01/2011,1,0,1,0,1,1,2,7.41,9.31,0.6,0.19,42,1459,1501
32,01/02/2011,1,0,2,0,2,1,2,7.88,11.73,0.83,0.05,47,1313,1360
33,02/02/2011,1,0,2,0,3,1,2,10.66,12.72,0.78,0.26,72,1454,1526
34,03/02/2011,1,0,2,0,4,1,1,7.67,8.89,0.44,0.28,61,1489,1550
35,04/02/2011,1,0,2,0,5,1,2,8.66,11.43,0.59,0.13,88,1620,1708
36,05/02/2011,1,0,2,0,6,0,2,9.57,12.15,0.93,0.16,100,905,1005
37,06/02/2011,1,0,2,0,0,0,1,11.72,14.58,0.57,0.14,354,1269,1623
38,07/02/2011,1,0,2,0,1,1,1,11.14,15.18,0.74,0.05,120,1592,1712
39,08/02/2011,1,0,2,0,2,1,1,9.05,9.91,0.54,0.36,64,1466,1530
40,09/02/2011,1,0,2,0,3,1,2,5.53,7.21,0.49,0.19,53,1552,1605
41,10/02/2011,1,0,2,0,4,1,1,5.92,7.48,0.44,0.22,47,1491,1538
42,11/02/2011,1,0,2,0,5,1,1,7.75,10.68,0.51,0.11,149,1597,1746
43,12/02/2011,1,0,2,0,6,0,1,9.12,11.65,0.54,0.2,288,1184,1472
44,13/02/2011,1,0,2,0,0,0,1,12.98,16.21,0.46,0.26,397,1192,1589
45,14/02/2011,1,0,2,0,1,1,1,17.02,19.92,0.38,0.42,208,1705,1913
46,15/02/2011,1,0,2,0,2,1,1,10.91,12.71,0.31,0.29,140,1675,1815
